DEPTH,BIT,BVOL,CAL,CNCF,CVOL,DT,GR,PE,RD,RMSL,RS,SPBD,SPD,TTEN,ZCOR,ZDEN
105,12.25,109.106,17.773,45.609,61.042,55.732,50.4,5.548,9.646,1.978,15.946,88.035,8.173,2051.704,0.344,2.39
105.08,12.25,109.098,17.773,44.726,61.037,55.733,51.537,5.046,9.633,1.978,15.895,88.162,8.17,2048.04,0.216,2.364
105.16,12.25,109.089,17.773,47.057,61.033,55.736,54.357,4.925,9.615,1.978,15.825,88.284,8.161,2046.26,0.266,2.349
105.23,12.25,109.081,17.773,52.575,61.028,55.743,57.39,4.655,9.595,1.979,15.746,88.401,8.148,2046.192,0.392,2.325
105.31,12.25,109.073,17.774,56.585,61.023,55.746,58.815,4.33,9.576,1.979,15.671,88.512,8.132,2047.41,0.305,2.297
105.39,12.25,109.065,17.774,57.549,61.019,55.737,57.528,4.186,9.56,1.978,15.611,88.617,8.116,2049.443,0.311,2.29
105.46,12.25,109.057,17.774,59.317,61.015,55.714,54.582,4.17,9.549,1.978,15.57,88.714,8.103,2052.116,0.318,2.279
105.54,12.25,109.05,17.774,60.247,61.011,55.688,51.766,4.217,9.543,1.978,15.547,88.803,8.095,2055.451,0.348,2.268
105.61,12.25,109.042,17.774,58.855,61.007,55.669,49.82,4.267,9.539,1.978,15.533,88.884,8.091,2058.988,0.313,2.231
105.69,12.25,109.034,17.775,55.207,61.003,55.66,49.035,4.149,9.536,1.978,15.521,88.955,8.092,2061.755,0.344,2.201
105.77,12.25,109.027,17.775,50.5,60.999,55.651,48.952,4.09,9.531,1.978,15.505,89.016,8.098,2062.657,0.346,2.166
105.84,12.25,109.019,17.775,47.172,60.995,55.636,49.358,4.014,9.524,1.978,15.481,89.065,8.105,2061.181,0.351,2.143
105.92,12.25,109.012,17.775,47.359,60.991,55.617,50.221,4.005,9.515,1.979,15.448,89.103,8.111,2058.206,0.295,2.125
105.99,12.25,109.005,17.775,51.352,60.988,55.601,51.662,4.007,9.503,1.978,15.409,89.127,8.113,2055.416,0.233,2.127
106.07,12.25,108.997,17.776,57.609,60.984,55.601,52.638,3.958,9.491,1.978,15.37,89.138,8.109,2053.807,0.173,2.142
106.15,12.25,108.99,17.776,64.73,60.98,55.623,52.184,3.908,9.481,1.978,15.335,89.134,8.102,2053.102,0.358,2.153
106.22,12.25,108.983,17.776,68.444,60.977,55.667,51.669,3.94,9.473,1.978,15.308,89.115,8.095,2052.617,0.259,2.133
106.3,12.25,108.976,17.776,67.545,60.973,55.723,52.198,4.172,9.467,1.978,15.291,89.082,8.091,2051.84,0.239,2.127
106.38,12.25,108.969,17.776,65.934,60.97,55.779,53.86,4.268,9.463,1.978,15.28,89.033,8.091,2050.608,0.208,2.119
106.45,12.25,108.962,17.777,64.639,60.967,55.828,54.351,4.506,9.461,1.978,15.273,88.969,8.097,2049.317,0.199,2.132
106.53,12.25,108.955,17.777,62.017,60.963,55.865,51.876,4.523,9.459,1.978,15.268,88.89,8.105,2048.594,0.206,2.145
106.6,12.25,108.948,17.777,57.646,60.96,55.89,47.864,4.579,9.458,1.978,15.263,88.797,8.111,2048.639,0.13,2.15
106.68,12.25,108.942,17.777,54.111,60.957,55.899,44.998,4.571,9.456,1.978,15.258,88.691,8.114,2049.041,0.154,2.16
106.76,12.25,108.935,17.777,53.132,60.953,55.895,45.124,4.558,9.455,1.979,15.253,88.572,8.114,2049.044,0.102,2.169
106.83,12.25,108.928,17.778,54.627,60.95,55.879,47.675,4.612,9.452,1.979,15.246,88.442,8.112,2048.11,0.101,2.188
106.91,12.25,108.921,17.778,55.457,60.947,55.861,51.137,5.001,9.45,1.979,15.236,88.303,8.113,2046.874,0.081,2.212
106.99,12.25,108.914,17.778,53.763,60.943,55.852,53.887,5.153,9.447,1.979,15.226,88.156,8.117,2046.194,0.061,2.225
107.06,12.25,108.907,17.778,50.573,60.94,55.857,55.219,5.02,9.444,1.978,15.216,88.002,8.127,2046.478,0.061,2.241
107.14,12.25,108.9,17.778,48.193,60.937,55.876,56.124,4.681,9.442,1.978,15.209,87.844,8.142,2047.617,0.048,2.238
107.21,12.25,108.894,17.779,46.424,60.934,55.9,57.742,4.407,9.441,1.978,15.205,87.684,8.16,2049.226,0.155,2.222
107.29,12.25,108.887,17.779,44.357,60.93,55.926,59.688,4.546,9.441,1.978,15.204,87.524,8.176,2051.083,0.198,2.187
107.37,12.25,108.88,17.779,45.251,60.927,55.95,59.903,4.482,9.441,1.978,15.205,87.365,8.186,2053.104,0.174,2.148
107.44,12.25,108.873,17.779,52.123,60.924,55.976,58.226,4.525,9.442,1.978,15.207,87.211,8.188,2055.044,0.171,2.131
107.52,12.25,108.866,17.779,63.309,60.921,55.999,56.491,4.431,9.443,1.978,15.208,87.061,8.184,2056.427,0.185,2.131
107.59,12.25,108.86,17.78,69.558,60.918,56.012,55.986,4.485,9.443,1.978,15.209,86.919,8.179,2056.928,0.178,2.137
107.67,12.25,108.853,17.78,66.543,60.914,56.011,56.693,4.639,9.443,1.978,15.209,86.787,8.176,2056.456,0.155,2.144
107.75,12.25,108.846,17.78,61.347,60.911,56,57.315,4.721,9.443,1.979,15.209,86.664,8.178,2054.732,0.102,2.149
107.82,12.25,108.839,17.78,60.2,60.908,55.988,57.542,4.87,9.443,1.979,15.21,86.554,8.185,2052.148,0.089,2.158
107.9,12.25,108.832,17.78,64.558,60.905,55.977,57.995,4.903,9.443,1.979,15.211,86.456,8.194,2049.877,0.093,2.171
107.98,12.25,108.826,17.781,70.927,60.901,55.963,59.476,5.068,9.443,1.979,15.211,86.373,8.202,2048.337,0.077,2.18
108.05,12.25,108.819,17.781,76.082,60.898,55.945,60.975,5.004,9.442,1.978,15.21,86.303,8.207,2047.814,0.079,2.191
108.13,12.25,108.812,17.781,78.247,60.895,55.926,60.991,5.175,9.442,1.978,15.209,86.248,8.209,2048.757,0.076,2.188
108.2,12.25,108.805,17.781,77.028,60.892,55.914,59.152,5.086,9.441,1.978,15.208,86.209,8.209,2051.375,0.138,2.19
108.28,12.25,108.798,17.781,74.373,60.888,55.912,56.706,5.048,9.441,1.978,15.207,86.184,8.205,2055.232,0.092,2.18
108.36,12.25,108.792,17.781,72.934,60.885,55.92,55.605,4.941,9.44,1.978,15.207,86.173,8.197,2059.103,0.102,2.179
108.43,12.25,108.785,17.782,73.546,60.882,55.933,56.283,4.919,9.439,1.978,15.206,86.177,8.185,2061.727,0.068,2.175
108.51,12.25,108.778,17.782,74.88,60.879,55.955,58.25,4.972,9.438,1.979,15.205,86.194,8.173,2062.33,0.066,2.171
108.59,12.25,108.771,17.782,74.349,60.876,55.986,59.789,4.808,9.437,1.979,15.203,86.223,8.163,2060.998,0.107,2.173
108.66,12.25,108.764,17.782,68.635,60.872,56.024,60.806,4.707,9.437,1.979,15.2,86.264,8.158,2059.023,0.112,2.172
108.74,12.25,108.758,17.782,59.65,60.869,56.058,62.003,4.707,9.436,1.979,15.198,86.315,8.157,2058.015,0.105,2.17
108.81,12.25,108.751,17.783,53.261,60.866,56.073,62.924,4.742,9.437,1.979,15.196,86.375,8.16,2059.137,0.084,2.165
108.89,12.25,108.744,17.783,52.234,60.863,56.065,61.959,4.731,9.438,1.979,15.195,86.442,8.163,2062.33,0.09,2.166
108.97,12.25,108.737,17.783,57.2,60.86,56.047,58.458,4.656,9.439,1.978,15.195,86.515,8.163,2065.727,0.122,2.179
109.04,12.25,108.731,17.783,66.738,60.856,56.03,54.246,4.752,9.44,1.978,15.195,86.591,8.158,2067.691,0.123,2.2
109.12,12.25,108.724,17.783,76.048,60.853,56.017,51.91,4.742,9.44,1.978,15.194,86.67,8.148,2067.932,0.117,2.233
109.2,12.25,108.717,17.784,80.577,60.85,55.998,53.001,4.752,9.44,1.979,15.192,86.749,8.135,2067.739,0.098,2.267
109.27,12.25,108.71,17.784,81.999,60.847,55.965,54.668,4.722,9.439,1.979,15.19,86.828,8.119,2068.653,0.079,2.305
109.35,12.25,108.703,17.784,80.499,60.844,55.926,55.05,4.732,9.438,1.979,15.188,86.903,8.105,2071.515,0.13,2.335
109.42,12.25,108.697,17.784,76.432,60.84,55.898,54.612,4.814,9.438,1.979,15.188,86.973,8.094,2076.319,0.081,2.34
109.5,12.25,108.69,17.784,70.066,60.837,55.893,54.468,4.836,9.44,1.979,15.196,87.037,8.085,2081.371,0.135,2.337
109.58,12.25,108.683,17.785,59.532,60.834,55.907,54.768,4.872,9.447,1.979,15.218,87.093,8.08,2083.971,0.098,2.335
109.65,12.25,108.676,17.785,50.754,60.831,55.926,54.318,4.71,9.46,1.979,15.261,87.139,8.075,2082.635,0.141,2.344
109.73,12.25,108.669,17.785,48.564,60.827,55.939,53.485,4.604,9.479,1.979,15.325,87.174,8.072,2077.371,0.117,2.362
109.8,12.25,108.662,17.785,51.826,60.824,55.947,53.115,4.649,9.504,1.978,15.405,87.196,8.07,2069.405,0.089,2.372
109.88,12.25,108.655,17.785,55.696,60.82,55.959,53.753,4.703,9.529,1.978,15.489,87.205,8.068,2060.873,0.145,2.382
109.96,12.25,108.647,17.786,56.596,60.816,55.981,54.612,4.709,9.549,1.978,15.559,87.198,8.066,2054.002,0.184,2.384
110.03,12.25,108.64,17.786,57.101,60.812,56.009,55.238,4.647,9.563,1.978,15.608,87.175,8.064,2049.978,0.166,2.373
110.11,12.25,108.632,17.786,60.461,60.808,56.026,55.915,4.995,9.57,1.978,15.633,87.136,8.063,2048.308,0.155,2.356
110.19,12.25,108.624,17.786,66.023,60.804,56.024,56.264,5.192,9.57,1.978,15.632,87.079,8.064,2048.268,0.095,2.342
110.26,12.25,108.616,17.786,68.332,60.799,56.013,56.422,4.836,9.563,1.979,15.607,87.005,8.067,2049.228,0.129,2.343
110.34,12.25,108.608,17.787,67.085,60.795,56.013,56.559,4.724,9.549,1.979,15.556,86.912,8.073,2051.088,0.112,2.351
110.41,12.25,108.601,17.787,67.695,60.791,56.038,56.335,4.799,9.529,1.979,15.484,86.802,8.079,2053.772,0.137,2.362
110.49,12.25,108.593,17.787,67.95,60.787,56.08,55.942,5.084,9.501,1.979,15.393,86.675,8.082,2056.896,0.127,2.368
110.57,12.25,108.586,17.787,65.364,60.783,56.118,54.79,5.249,9.474,1.978,15.3,86.533,8.081,2059.395,0.042,2.377
110.64,12.25,108.578,17.787,62.27,60.78,56.142,52.545,5.559,9.451,1.978,15.218,86.375,8.075,2060.764,0.064,2.395
110.72,12.25,108.572,17.788,62.024,60.776,56.162,50.282,5.576,9.436,1.978,15.156,86.204,8.067,2061.701,0.064,2.424
110.8,12.25,108.565,17.788,67.609,60.773,56.188,48.814,6.109,9.425,1.978,15.116,86.023,8.061,2063.14,-0.015,2.426
110.87,12.25,108.558,17.788,72.675,60.77,56.226,48.864,6.265,9.403,1.978,15.085,85.833,8.06,2066.268,0.026,2.431
110.95,12.25,108.551,17.788,69.365,60.766,56.27,50.629,6.839,9.297,1.979,14.938,85.637,8.064,2072.001,-0.001,2.403
111.02,12.25,108.544,17.788,62.947,60.763,56.313,53.728,7.156,8.947,1.979,14.353,85.439,8.075,2079.553,-0.021,2.363
111.1,12.25,108.537,17.789,60.263,60.76,56.355,57.076,8.243,9.873,1.979,16.391,85.241,8.09,2087.398,-0.046,2.301
111.18,12.25,108.53,17.789,62.046,60.756,56.405,60.464,8.85,8.563,1.979,14.108,85.046,8.108,2094.88,-0.194,2.221
111.25,12.25,108.523,17.789,64.648,60.753,56.468,63.721,9.881,6.798,1.978,11.061,84.859,8.123,2102.238,-0.357,2.167
111.33,12.25,108.516,17.789,65.555,60.749,56.546,65.796,10.503,4.83,1.978,7.671,84.683,8.134,2109.542,-0.377,2.183
111.4,12.25,108.508,17.789,66.377,60.744,56.629,66.73,12.5,2.933,1.978,4.535,84.521,8.14,2115.993,-0.336,2.24
111.48,12.25,108.499,17.789,69.512,60.739,56.705,67.054,13.299,1.471,1.978,2.129,84.376,8.139,2120.588,-0.238,2.33
111.56,12.25,108.49,17.79,71.73,60.734,56.763,67.919,13.427,0.563,1.978,0.701,84.251,8.133,2121.94,-0.006,2.4
111.63,12.25,108.48,17.79,64.791,60.727,56.798,69.013,12.46,0.169,1.978,0.127,84.149,8.124,2120.328,0.029,2.403
111.71,12.25,108.47,17.79,55.325,60.721,56.809,68.8,11.203,0.066,1.978,0.033,84.071,8.116,2116.931,-0.036,2.369
111.79,12.25,108.459,17.79,52.172,60.714,56.801,66.441,11.003,0.058,1.978,0.032,84.019,8.111,2112.634,-0.045,2.347
111.86,12.25,108.448,17.79,54.072,60.707,56.785,63.367,10.657,0.066,1.978,0.032,83.995,8.111,2108.434,-0.022,2.353
111.94,12.25,108.438,17.791,56.506,60.7,56.762,62.012,10.839,0.076,1.979,0.032,83.999,8.114,2104.429,-0.013,2.352
112.01,12.25,108.427,17.791,55.18,60.693,56.736,62.827,10.366,0.087,1.979,0.032,84.031,8.122,2099.492,-0.039,2.351
112.09,12.25,108.416,17.791,52.894,60.685,56.707,64.763,10.091,0.096,1.979,0.032,84.089,8.13,2093.074,-0.001,2.359
112.17,12.25,108.406,17.791,52.796,60.678,56.677,64.949,10.201,0.102,1.978,0.032,84.174,8.137,2085.29,-0.029,2.363
112.24,12.25,108.395,17.791,55.101,60.671,56.647,63.067,10.434,0.104,1.978,0.032,84.284,8.144,2077.404,-0.018,2.369
112.32,12.25,108.384,17.792,58.718,60.664,56.617,60.746,10.388,0.103,1.978,0.032,84.415,8.15,2070.742,-0.005,2.363
112.4,12.25,108.374,17.792,61.362,60.657,56.583,59.251,10.328,0.097,1.978,0.032,84.566,8.158,2066.555,-0.044,2.357
112.47,12.25,108.363,17.792,64.876,60.65,56.54,59.151,10.277,0.09,1.978,0.032,84.733,8.167,2065.283,-0.091,2.353
112.55,12.25,108.352,17.792,68.384,60.643,56.497,60.02,10.376,0.082,1.978,0.032,84.914,8.175,2066.346,-0.007,2.355
112.62,12.25,108.342,17.792,68.808,60.636,56.46,60.545,10.279,0.075,1.978,0.032,85.103,8.181,2068.642,-0.011,2.351
112.7,12.25,108.331,17.793,67.417,60.629,56.418,59.928,10.23,0.07,1.978,0.032,85.299,8.183,2070.503,-0.015,2.347
112.78,12.25,108.32,17.793,67.361,60.622,56.36,59.888,10.152,0.068,1.979,0.032,85.496,8.182,2070.704,-0.025,2.338
112.85,12.25,108.31,17.793,69.541,60.614,56.281,61.265,10.124,0.071,1.979,0.032,85.69,8.178,2069.287,-0.079,2.331
112.93,12.25,108.299,17.793,71.402,60.607,56.202,62.705,10.016,0.078,1.979,0.032,85.879,8.172,2066.453,-0.012,2.332
113.01,12.25,108.288,17.793,69.919,60.6,56.148,61.768,9.936,0.09,1.978,0.032,86.057,8.168,2063.9,-0.04,2.327
113.08,12.25,108.278,17.794,61.821,60.593,56.127,57.464,9.753,0.105,1.978,0.032,86.222,8.166,2064.177,-0.083,2.312
113.16,12.25,108.267,17.794,53.451,60.586,56.123,51.934,9.69,0.116,1.978,0.032,86.37,8.164,2068.156,-0.057,2.298
113.23,12.25,108.257,17.794,50.348,60.58,56.115,48.653,9.584,0.128,1.978,0.032,86.499,8.159,2075.285,-0.095,2.272
113.31,12.25,108.247,17.794,50.454,60.574,56.1,47.829,9.627,0.138,1.978,0.032,86.606,8.151,2084.414,-0.162,2.245
113.39,12.25,108.238,17.794,51.5,60.567,56.081,47.537,9.512,0.145,1.978,0.032,86.69,8.139,2094.07,-0.106,2.248
113.46,12.25,108.228,17.795,52.518,60.561,56.059,47.502,9.409,0.15,1.978,0.032,86.748,8.126,2103.24,-0.169,2.212
113.54,12.25,108.219,17.795,55.673,60.556,56.029,48.261,8.936,0.152,1.978,0.034,86.782,8.112,2110.879,-0.199,2.155
113.61,12.25,108.21,17.795,58.445,60.55,55.984,49.828,9.02,0.155,1.978,0.039,86.79,8.1,2115.469,-0.343,2.063
113.69,12.25,108.201,17.795,56.452,60.545,55.923,51.616,9.31,0.158,1.979,0.043,86.773,8.09,2116.221,-0.528,2.004
113.77,12.25,108.193,17.795,49.482,60.541,55.857,53.159,10.306,0.163,1.978,0.048,86.733,8.08,2113.341,-0.55,1.983
113.84,12.25,108.186,17.796,43.405,60.537,55.795,54.371,10.595,0.17,1.978,0.052,86.671,8.068,2107.612,-0.596,1.977
113.92,12.25,108.179,17.796,43.808,60.534,55.74,55.42,11.212,0.176,1.978,0.054,86.59,8.057,2101.29,-0.727,1.954
114,12.25,108.172,17.796,47.426,60.531,55.699,56.265,11.574,0.178,1.978,0.056,86.492,8.048,2098.419,-0.709,1.963
114.07,12.25,108.166,17.796,49.83,60.528,55.674,56.682,12.677,0.173,1.978,0.056,86.38,8.044,2101.786,-0.709,1.98
114.15,12.25,108.159,17.796,49.179,60.525,55.668,56.889,13.036,0.162,1.978,0.056,86.259,8.043,2110.74,-0.684,2.003
114.22,12.25,108.153,17.797,49.162,60.522,55.686,57.166,14.433,0.145,1.978,0.054,86.131,8.043,2122.273,-0.725,2.005
114.3,12.25,108.146,17.797,53.765,60.518,55.726,57.286,15.366,0.126,1.978,0.051,86.001,8.041,2132.092,-0.699,2.054
114.38,12.25,108.139,17.797,61.206,60.515,55.781,57.356,16.363,0.108,1.978,0.045,85.872,8.035,2137.016,-0.539,2.166
114.45,12.25,108.131,17.797,66.073,60.511,55.832,58.453,15.413,0.092,1.978,0.039,85.747,8.025,2136.873,-0.323,2.332
